坂本勇人,545,107,29,0,16,58,88,0.344
村田修一,519,95,17,0,21,53,83,0.322
阿部慎之助,459,71,24,0,19,70,77,0.340
長野久義,472,97,29,1,13,45,75,0.356
片岡治大,429,84,16,2,6,33,51,0.304
ロペス,375,52,17,0,22,24,66,0.285
橋本到,351,72,14,0,4,35,78,0.322
アンダーソン,295,67,11,1,15,31,44,0.382
亀井善行,240,45,17,1,8,23,30,0.352
井端弘和,164,36,3,0,3,18,24,0.328
セペダ,108,12,3,0,6,23,38,0.333
高橋由伸,112,22,4,0,6,16,30,0.369
小林誠司,110,19,7,0,2,8,26,0.305
松本哲也,80,21,1,0,0,6,12,0.326
矢野謙次,78,11,3,0,0,4,13,0.217
大田泰示,65,8,6,0,2,10,20,0.338
中井大介,49,7,2,1,0,3,13,0.250
寺内崇幸,35,7,0,0,0,2,10,0.243
藤村大介,27,4,1,0,0,2,4,0.241
隠善智也,28,9,0,0,0,0,5,0.321
實松一成,22,3,0,0,0,3,8,0.240
鈴木尚広,20,7,0,0,0,5,4,0.480
横川史学,19,3,1,0,1,2,6,0.333
加藤健,10,4,0,0,0,2,4,0.500
石井義人,4,1,0,0,0,1,3,0.333
立岡宗一郎,2,0,0,0,0,0,1,0.000
鬼屋敷正人,1,0,0,0,0,0,1,0.000
坂口真規,-,0,-,-,-,0,-,-
奥村展征,-,0,-,-,-,0,-,-
辻東倫,-,0,-,-,-,0,-,-
河野元貴,-,0,-,-,-,0,-,-
大累進,-,0,-,-,-,0,-,-
加治前竜一,-,0,-,-,-,0,-,-
井野卓,-,0,-,-,-,0,-,-
和田恋,-,0,-,-,-,0,-,-
